organ_name,dice_median,dice_mean,dice_sd,n
Adrenal Left,0.0,0.0016,0.0129,325.0
Adrenal Right,0.0,0.0,0.0,315.0
Bladder,0.0,0.0255,0.107,337.0
Bones,0.4711,0.5074,0.1824,358.0
Breast Left,,,,
Breast Right,,,,
Duodenum,0.0374,0.1071,0.1391,340.0
Esophagus,0.3266,0.3097,0.1812,341.0
Gall Bladder,0.0,0.0189,0.0894,325.0
Gonads,,,,
Heart,0.2164,0.2655,0.2566,344.0
Kidney Left,0.8388,0.6658,0.33,334.0
Kidney Right,0.8049,0.614,0.3609,329.0
Large Intestine,0.5629,0.5102,0.2027,341.0
Liver,0.4531,0.438,0.2545,346.0
Lung Left,0.866,0.7888,0.2073,348.0
Lung Right,0.832,0.7158,0.266,348.0
Pancreas,0.0,0.0666,0.135,341.0
Prostate,,,,
Rectum,,,,
Skin,,,,
Small Intestine,0.4742,0.4683,0.1994,343.0
Spinal Canal,,,,
Spleen,0.0776,0.2331,0.2903,342.0
Stomach,0.026,0.1563,0.2168,343.0
Thymus,,,,
