organ_name,dice_median,dice_mean,dice_sd,n
Adrenal Left,0.0,0.0244,0.0661,232.0
Adrenal Right,0.0,0.0496,0.103,228.0
Bladder,0.0,0.0115,0.0548,240.0
Bones,0.5018,0.5406,0.2139,253.0
Breast Left,,,,
Breast Right,,,,
Duodenum,0.163,0.1993,0.1858,242.0
Esophagus,0.5303,0.5111,0.1707,242.0
Gall Bladder,0.0,0.1377,0.2427,232.0
Gonads,,,,
Heart,0.2548,0.3247,0.2643,244.0
Kidney Left,0.9239,0.7154,0.3679,239.0
Kidney Right,0.7277,0.5401,0.4126,234.0
Large Intestine,0.631,0.5786,0.1996,242.0
Liver,0.6126,0.5449,0.3071,244.0
Lung Left,0.8898,0.7119,0.3331,245.0
Lung Right,0.8895,0.7587,0.2739,246.0
Pancreas,0.2863,0.2909,0.2688,242.0
Prostate,,,,
Rectum,,,,
Skin,,,,
Small Intestine,0.4736,0.4745,0.2209,242.0
Spinal Canal,,,,
Spleen,0.0182,0.3035,0.3574,242.0
Stomach,0.0003,0.127,0.1977,241.0
Thymus,,,,
