image_path,mask_path,totalsegmentator_folder,kind
/radraid/pteng/Totalsegmentator_dataset/s0107/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0107/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0107/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0370/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0370/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0370/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0979/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0979/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0979/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0124/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0124/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0124/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0141/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0141/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0141/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0754/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0754/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0754/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0102/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0102/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0102/segmentations,validation
/radraid/pteng/Totalsegmentator_dataset/s0260/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0260/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0260/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0505/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0505/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0505/segmentations,validation
/radraid/pteng/Totalsegmentator_dataset/s1131/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1131/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1131/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0298/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0298/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0298/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0982/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0982/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0982/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0616/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0616/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0616/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0548/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0548/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0548/segmentations,test
/radraid/pteng/Totalsegmentator_dataset/s1023/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1023/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1023/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0224/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0224/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0224/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s1249/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1249/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1249/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s1152/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1152/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1152/segmentations,test
/radraid/pteng/Totalsegmentator_dataset/s1304/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1304/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1304/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s1314/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1314/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1314/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s1088/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1088/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1088/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s1171/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1171/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1171/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s1082/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1082/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1082/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s1350/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1350/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1350/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s1371/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1371/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1371/segmentations,test
/radraid/pteng/Totalsegmentator_dataset/s0927/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0927/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0927/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0970/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0970/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0970/segmentations,test
/radraid/pteng/Totalsegmentator_dataset/s0556/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0556/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0556/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s1016/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1016/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1016/segmentations,validation
/radraid/pteng/Totalsegmentator_dataset/s0650/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0650/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0650/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0692/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0692/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0692/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s1178/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1178/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1178/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0903/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0903/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0903/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s1024/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1024/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1024/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0053/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0053/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0053/segmentations,validation
/radraid/pteng/Totalsegmentator_dataset/s1366/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1366/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1366/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0210/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0210/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0210/segmentations,test
/radraid/pteng/Totalsegmentator_dataset/s0988/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0988/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0988/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0285/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0285/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0285/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0156/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0156/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0156/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0270/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0270/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0270/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0492/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0492/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0492/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0664/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0664/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0664/segmentations,test
/radraid/pteng/Totalsegmentator_dataset/s0861/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0861/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0861/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0860/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0860/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0860/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s1098/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1098/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s1098/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0199/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0199/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0199/segmentations,train
/radraid/pteng/Totalsegmentator_dataset/s0183/ct.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0183/segmentations/lung_upper_lobe_right.nii.gz,/radraid/pteng/Totalsegmentator_dataset/s0183/segmentations,train
