image_path,image_size,image_spacing
/mnt/scratch/data/Totalsegmentator_dataset/s0573/ct.nii.gz,"(224, 224, 247)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0672/ct.nii.gz,"(201, 201, 200)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0090/ct.nii.gz,"(258, 158, 275)","(1.5000001192092896, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0012/ct.nii.gz,"(238, 145, 315)","(1.4999998807907104, 1.5000001192092896, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0151/ct.nii.gz,"(292, 184, 292)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0220/ct.nii.gz,"(253, 253, 181)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0776/ct.nii.gz,"(227, 133, 173)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1156/ct.nii.gz,"(163, 163, 235)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0674/ct.nii.gz,"(221, 221, 223)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0891/ct.nii.gz,"(117, 117, 131)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1125/ct.nii.gz,"(247, 247, 245)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0320/ct.nii.gz,"(272, 272, 282)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1072/ct.nii.gz,"(167, 167, 109)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0731/ct.nii.gz,"(299, 299, 427)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s1269/ct.nii.gz,"(221, 221, 191)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0606/ct.nii.gz,"(297, 297, 226)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0475/ct.nii.gz,"(277, 277, 225)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0734/ct.nii.gz,"(224, 224, 145)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0638/ct.nii.gz,"(129, 129, 92)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0705/ct.nii.gz,"(267, 267, 301)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0941/ct.nii.gz,"(241, 241, 230)","(1.5, 1.5, 1.5)"
/mnt/scratch/data/Totalsegmentator_dataset/s0620/ct.nii.gz,"(245, 245, 300)","(1.5, 1.5, 1.5)"
